99019674	sprite	47							
98647131	sprite	3622							
98717766	procDef	11							
99540145	sprite	5							
99654965	stage	119							
98920420	stage	3							
99278389	sprite	353							
98563115	procDef	68							
98949171	procDef	6							
99456774	procDef	80							
95354717	sprite	10							
99243411	sprite	29							
98564538	sprite	278							
99581201	sprite	1059							
99232159	procDef	5							
96603073	procDef	77							
99646470	procDef	4							
99154727	stage	2							
99006259	procDef	24							
98619463	sprite	17							
99221110	procDef	38							
98649814	sprite	145							
99147703	sprite	194							
97839044	procDef	233							
98673129	procDef	1431							
99928259	sprite	11							
99905603	sprite	1294							
99338201	stage	6							
98822702	procDef	4							
98704684	sprite	127							
99676786	stage	3							
98697568	procDef	8							
99565186	procDef	12							
88683642	stage	28							
99221084	procDef	3							
99578955	sprite	201							
99938964	sprite	1993							
98558036	stage	4							
99732273	sprite	373							
98681501	procDef	790							
99665519	procDef	2							
98493957	sprite	415							
99335998	procDef	38							
99459715	stage	3							
98593720	stage	5							
98565331	sprite	470							
99601641	procDef	126							
94278961	sprite	16							
98293905	stage	15							
99930793	stage	49							
99783324	stage	14							
98574959	procDef	9							
98639423	stage	2							
98662760	procDef	660							
97861545	procDef	105							
98848041	procDef	65							
98631012	sprite	119							
99109721	sprite	1883							
99564310	procDef	271							
99144858	procDef	2							
99402040	sprite	531							
98613817	procDef	511							
99455274	sprite	439							
99516864	stage	3							
99872047	sprite	172							
99077941	procDef	6							
99163955	procDef	3							
98628848	procDef	42							
99642669	sprite	174							
92839280	procDef	46							
99957364	stage	41							
97302741	stage	3							
98595293	sprite	341							
99488635	sprite	477							
98172487	sprite	2247							
98966516	procDef	175							
98732778	stage	3							
97605620	procDef	4							
98548788	stage	8							
98625453	procDef	6							
26524301	procDef	6							
99645011	stage	38							
99176824	sprite	2224							
93023125	procDef	29							
99552157	sprite	14							
99512177	procDef	8							
98783237	sprite	139							
99576302	procDef	8							
99496821	sprite	3							
98588533	procDef	2369							
98266777	stage	8							
99502348	procDef	2							
99434361	sprite	14							
98751108	sprite	361							
99878470	procDef	5							
99241221	procDef	25							
98561239	stage	9							
98845365	sprite	344							
99125067	sprite	672							
99550922	procDef	1608							
99540911	procDef	34							
98587806	stage	4							
86394931	sprite	673							
98130033	sprite	12							
99451824	sprite	72							
98172898	sprite	3806							
60664714	procDef	103							
99594836	stage	54							
98655837	sprite	108							
99327812	procDef	25							
99072794	procDef	117							
99042201	sprite	38							
99182587	stage	8							
99478266	sprite	146							
99022809	stage	27							
99783339	procDef	3425							
99210349	sprite	11							
98119684	sprite	105							
99096125	stage	25							
96811541	procDef	8							
94668836	stage	52							
99640917	sprite	213							
99716571	stage	2							
98491794	sprite	135							
97038590	procDef	10							
98676210	stage	9							
94083724	stage	15							
98426885	stage	10							
98649047	sprite	162							
98695245	procDef	25							
99811013	procDef	6							
96720268	procDef	2164							
98585494	procDef	46							
99425602	procDef	51							
98572276	procDef	15							
98637671	stage	11							
98666381	stage	3							
99293333	sprite	666							
87162310	stage	7							
98653095	procDef	13							
99496517	procDef	16							
99631717	sprite	316							
99375685	sprite	2247							
99158664	stage	36							
98668900	stage	15							
98363518	sprite	107							
98562115	stage	4							
99375359	procDef	30							
86224037	sprite	35							
99337121	procDef	19							
98989625	sprite	12							
98838240	procDef	818							
97655276	stage	4							
99599983	stage	3							
76247924	sprite	191							
99164810	sprite	812							
99565047	sprite	13							
98558082	sprite	99							
99191411	procDef	381							
99697788	procDef	6							
98591365	stage	31							
99505372	stage	7							
99311110	stage	40							
99479745	sprite	11							
99486719	sprite	122							
98762095	stage	9							
99584821	stage	3							
97872522	sprite	2249							
98249644	stage	2							
98729677	procDef	45							
99022986	sprite	70							
94522815	sprite	398							
98985710	sprite	147							
99883453	procDef	2							
99874015	procDef	46							
98591000	sprite	91							
99526483	procDef	57							
99550241	sprite	739							
98503612	sprite	131							
95891111	sprite	1249							
99307195	stage	6							
98126406	stage	79							
98912693	sprite	2							
99539144	stage	13							
99744723	procDef	44							
99143735	procDef	6							
98779431	sprite	1062							
99047425	sprite	658							
98523165	stage	47							
99538995	procDef	34							
99440330	sprite	16							
99576259	stage	3							
99640849	stage	4							
99909848	stage	3							
98650087	sprite	4241							
99525509	stage	22							
